"Exact_Time_min","Trt","E_corr_per_kPa_avg","SD","N","SE","CI","E_corr_per_kPa_offset_avg","Time","meanVPD"
-1110,"Col-0 - WW",2.4785417861926,0.308878914188002,6,0.138134849788139,0.324148540961263,2.4785417861926,-0.770833333333333,0.989695105820106
-1080,"Col-0 - WW",2.49352168043553,0.321638119027602,6,0.143840939660177,0.337538505256672,2.49352168043553,-0.75,0.988190476190476
-1050,"Col-0 - WW",2.47480764380944,0.307775867591157,6,0.13764155235356,0.322990964550067,2.47480764380944,-0.729166666666667,0.988980936819172
-1020,"Col-0 - WW",2.45389282926147,0.300827959049389,6,0.134534353193392,0.315699581703599,2.45389282926147,-0.708333333333333,0.988995679012346
-990,"Col-0 - WW",2.43006367549606,0.276303980187605,6,0.123566896430648,0.289963244253987,2.43006367549606,-0.6875,0.98869411506368
-960,"Col-0 - WW",2.4222744415196,0.277705380087258,6,0.124193621518505,0.29143392325443,2.4222744415196,-0.666666666666667,0.989615600448934
-930,"Col-0 - WW",2.39931727641467,0.271260966788533,6,0.121311592276295,0.284670926260528,2.39931727641467,-0.645833333333333,0.989065641446676
-900,"Col-0 - WW",2.37636984398161,0.264351783377241,6,0.118221711520962,0.277420182946139,2.37636984398161,-0.625,0.988848663979699
-870,"Col-0 - WW",2.37056564438425,0.265723830198309,6,0.118835309513006,0.278860057779774,2.37056564438425,-0.604166666666667,0.988732392894462
-840,"Col-0 - WW",2.34396341673914,0.257173687062498,6,0.115011569259201,0.269887232846842,2.34396341673914,-0.583333333333333,0.988944444444445
-810,"Col-0 - WW",2.33156636129773,0.250022279504978,6,0.111813362572517,0.262382290880559,2.33156636129773,-0.5625,0.98939651416122
-780,"Col-0 - WW",2.31018513500685,0.275993167403555,6,0.123427896727966,0.289637066241069,2.31018513500685,-0.541666666666667,0.990738888888889
-750,"Col-0 - WW",2.30871156102454,0.276346715529647,6,0.123586008256618,0.290008092245009,2.30871156102454,-0.520833333333333,0.990736111111111
-720,"Col-0 - WW",2.32447118718463,0.298128731370536,6,0.133327221878058,0.312866915977216,2.32447118718463,-0.5,0.991513888888889
-690,"Col-0 - WW",1.31587745383557,0.277411851579701,6,0.124062351579259,0.291125883977273,1.31587745383557,-0.479166666666667,0.988055555555555
-660,"Col-0 - WW",1.25170542785763,0.161213808972405,6,0.0720970071547926,0.169183516779025,1.25170542785763,-0.458333333333333,0.99094212962963
-630,"Col-0 - WW",1.29295112918619,0.226567050597627,6,0.101323865319586,0.237767537723267,1.29295112918619,-0.4375,0.990561111111111
-600,"Col-0 - WW",1.32175888359919,0.260509870308596,6,0.116503555763935,0.273388342446521,1.32175888359919,-0.416666666666667,0.992595238095238
-570,"Col-0 - WW",1.31619711697032,0.203732811404986,6,0.0911120831097388,0.2138044733046,1.31619711697032,-0.395833333333333,0.992712013295347
-540,"Col-0 - WW",1.30741606015504,0.203115630732979,6,0.0908360715223372,0.21315678191114,1.30741606015504,-0.375,0.993250789141414
-510,"Col-0 - WW",1.30741606015504,0.203115630732979,6,0.0908360715223372,0.21315678191114,1.30741606015504,-0.354166666666667,0.993250789141414
-480,"Col-0 - WW",1.30742612669142,0.201811512947732,6,0.0902528523186413,0.211788194228679,1.30742612669142,-0.333333333333333,0.9939244747151
-450,"Col-0 - WW",1.31679701844559,0.204807340872366,6,0.0915926272963162,0.214932122823786,1.31679701844559,-0.3125,0.994183267386209
-420,"Col-0 - WW",1.30978391972936,0.202929259612536,6,0.0907527238234666,0.2129611974151,1.30978391972936,-0.291666666666667,0.994035657518682
-390,"Col-0 - WW",1.31179383629576,0.190818950348756,6,0.0853368288749949,0.200252207263526,1.31179383629576,-0.270833333333333,0.994674956724388
-360,"Col-0 - WW",1.32691027104122,0.18859585873819,6,0.0843426320827083,0.197919215696645,1.32691027104122,-0.25,0.994743945868945
-330,"Col-0 - WW",1.31805211265691,0.190554609732986,6,0.0852186121577801,0.199974798800266,1.31805211265691,-0.229166666666667,0.994241187739464
-300,"Col-0 - WW",1.31981017366387,0.187451297502433,6,0.0838307687371955,0.196718072343799,1.31981017366387,-0.208333333333333,0.993861111111111
-270,"Col-0 - WW",1.33422228979858,0.213963930647023,6,0.0956875787319586,0.224541374473218,1.33422228979858,-0.1875,0.993980555555556
-240,"Col-0 - WW",1.33032052610319,0.204240962881263,6,0.0913393353585032,0.21433774557427,1.33032052610319,-0.166666666666667,0.994234259259259
-210,"Col-0 - WW",1.3466921651155,0.177539670552912,6,0.0793981544118459,0.186316457773618,1.3466921651155,-0.145833333333333,0.993781662781663
-180,"Col-0 - WW",1.35389801143042,0.183618283447785,6,0.0821165927402142,0.192695570786628,1.35389801143042,-0.125,0.993721380471381
-150,"Col-0 - WW",1.35587553774723,0.182043280668202,6,0.0814122300842347,0.191042706736799,1.35587553774723,-0.104166666666667,0.993825811965812
-120,"Col-0 - WW",1.37885655264455,0.162918778069339,6,0.0728594925148489,0.170972772114269,1.37885655264455,-0.0833333333333333,0.993316666666667
-90,"Col-0 - WW",1.39783278970039,0.187617040195613,6,0.0839048911229402,0.196892008633074,1.39783278970039,-0.0625,0.993227777777778
-60,"Col-0 - WW",1.39783278970039,0.187617040195613,6,0.0839048911229402,0.196892008633074,1.39783278970039,-0.0416666666666667,0.993227777777778
-30,"Col-0 - WW",1.44189815335254,0.170157789423158,6,0.0760968768102551,0.178569648626578,1.44189815335254,-0.0208333333333333,0.994023148148148
0,"Col-0 - WW",1.44189815335254,0.170157789423158,6,0.0760968768102551,0.178569648626578,1.44189815335254,0,0.994023148148148
30,"Col-0 - WW",2.1172757400757,0.201193461874027,6,0.0899764514757675,0.211139589404658,2.1172757400757,0.0208333333333333,1.00460714285714
60,"Col-0 - WW",2.08920097770561,0.203517473454401,6,0.0910157810506097,0.213578489984633,2.08920097770561,0.0416666666666667,1.00380860805861
90,"Col-0 - WW",2.08034006311499,0.249686187295978,6,0.11166305756731,0.262029583738143,2.08034006311499,0.0625,0.998562593984962
120,"Col-0 - WW",2.08387597142437,0.248319159738531,6,0.111051704258197,0.260594976298639,2.08387597142437,0.0833333333333333,0.995193411306043
150,"Col-0 - WW",2.13761847147472,0.255448391869997,6,0.114239993792864,0.268076646582491,2.13761847147472,0.104166666666667,0.993104834401709
180,"Col-0 - WW",2.16729878954957,0.258538137851793,6,0.115621770202564,0.271319136134012,2.16729878954957,0.125,0.992773263888889
210,"Col-0 - WW",2.21470828989789,0.27843721182489,6,0.124520906621193,0.292201933562307,2.21470828989789,0.145833333333333,0.99194299719888
240,"Col-0 - WW",2.23426736200288,0.268469679812771,6,0.120063290791792,0.281741650226985,2.23426736200288,0.166666666666667,0.989594899455383
270,"Col-0 - WW",2.2585056211319,0.273930577220398,6,0.122505478356113,0.287472510592365,2.2585056211319,0.1875,0.988535714285714
300,"Col-0 - WW",2.3141009705719,0.286124913355401,6,0.127958951263783,0.300269681537308,2.3141009705719,0.208333333333333,0.986964117128333
330,"Col-0 - WW",2.3141009705719,0.286124913355401,6,0.127958951263783,0.300269681537308,2.3141009705719,0.229166666666667,0.986964117128333
360,"Col-0 - WW",2.31898870666481,0.291146424372314,6,0.130204639260499,0.305539434164587,2.31898870666481,0.25,0.986822310405644
390,"Col-0 - WW",2.27469019989386,0.318061885237481,6,0.142241599288549,0.333785478060719,2.27469019989386,0.270833333333333,0.986503755041255
420,"Col-0 - WW",2.2323910105065,0.280366035868572,6,0.125383502956854,0.294226110256836,2.2323910105065,0.291666666666667,0.986500220959596
450,"Col-0 - WW",2.18879038736163,0.279734207980751,6,0.125100940935404,0.293563047553075,2.18879038736163,0.3125,0.985839340504705
480,"Col-0 - WW",2.16294713800268,0.267169832145049,6,0.119481981242708,0.280377543758042,2.16294713800268,0.333333333333333,0.985432795698925
510,"Col-0 - WW",2.12152623383744,0.291065460579778,6,0.130168431151734,0.305454467875158,2.12152623383744,0.354166666666667,0.985487610283981
540,"Col-0 - WW",2.08484409286962,0.25835405283458,6,0.115539444880138,0.271125950756178,2.08484409286962,0.375,0.985015456989247
570,"Col-0 - WW",2.06698651114323,0.261446485756571,6,0.116922422926025,0.274371260078503,2.06698651114323,0.395833333333333,0.984722421346077
600,"Col-0 - WW",2.01298195052313,0.244933586132741,6,0.109537629713122,0.257042034695231,2.01298195052313,0.416666666666667,0.984765096618358
630,"Col-0 - WW",1.98360108967723,0.241591398854318,6,0.108042958123504,0.253534624250047,1.98360108967723,0.4375,0.986569444444445
660,"Col-0 - WW",1.98360108967723,0.241591398854318,6,0.108042958123504,0.253534624250047,1.98360108967723,0.458333333333333,0.986569444444445
690,"Col-0 - WW",1.98360108967723,0.241591398854318,6,0.108042958123504,0.253534624250047,1.98360108967723,0.479166666666667,0.986569444444445
