"idGenotype","idWatering","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW",2,"Control 1",-0.0768112597438575,1.86662268095714,1.87130568313907,0.656670650430584,NA,0.656670650430584,0.912712584283839,NA,1.64940257382862,2.33296689459449,2.57554603455322,0.229166666666667,-0.375365222333982,5.04683660964102,5.98731036234644,1.40964447168364,1.20997055164354,0.541666666666667,0.909713606027731,-0.942014190276103,8.22407487103156,-0.8,2.125,0.936695224822999,0.121747496112688,NA,1.5650593983507,1.87171044196285,0.348366216573354,0.218400027454948,0.0896306914262441,0.0874934299592706,-0.168258734994011,NA,2.3387544766342,2.48029574196607,0.243476430976431,-0.515767950155854,7.80310535899329,4.06248680419598,1.40995500990124,1.2531045340948,0.588594276094276,0.554005275340684,-0.935967516172691,6.3930457655451
"Col-0","WW",2,"Low VPD",-0.0768112597438575,1.86662268095714,NA,NA,NA,NA,NA,1.64940257382862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,1.5650593983507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",2,"Control 2",-0.0768112597438575,1.86662268095714,1.86238388379731,NA,NA,0.709603574424228,0.684427401515123,NA,1.62091749042735,2.28440652266997,2.58593561087836,0.229166666666667,-0.721434798205412,6.92098340298084,8.01368499384903,1.44036124492464,1.28459302630083,0.541666666666667,0.668893219960323,-0.876984979128061,6.3980313936227,2.20833333333333,3.125,0.994147737254443,0.0319723025249302,NA,1.65318829117358,1.88038007029613,0.31072572491921,0.266234580556291,0.101620654201535,0.075600368987387,-0.116212855100717,NA,2.32683455567735,2.50920913352228,0.195075757575758,-0.727536438582437,8.16492497945309,6.27215787598287,1.43876959335296,1.29358250841463,0.569234006734007,0.707849926787634,-1.87508319884274,5.9632463614377
"Col-0","WW",2,"High VPD",-0.0768112597438575,1.86662268095714,NA,NA,NA,NA,NA,1.62091749042735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,3.21527777777778,NA,NA,1.65318829117358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",2,"Control 3",-0.0768112597438575,1.86662268095714,1.87053340004971,NA,NA,0.472623546967777,1.07377462272998,NA,1.65000470293867,2.29566838392125,2.37329778464881,0.25,0.38583946612709,3.95172532172125,0.85266716694095,1.44539841617817,1.23373503802903,0.520833333333333,0.868736691985343,0.506529450900139,9.12331151452991,3.21527777777778,4.14583333333333,0.978318493382971,0.0595426923732228,NA,1.54111141726326,1.86692825177268,0.370504368107529,0.106453150600213,0.119706373843543,0.10217184634197,-0.227875804892646,NA,2.28659974941471,2.37068774585522,0.311237373737374,-0.272366616963306,3.54146160135389,1.40599149097624,1.4499374651734,1.2890537986737,0.607954545454546,0.374515192541084,-0.060615410842334,6.47077193525393
"Col-0","WW",3,"Control 1",-0.0629845916465931,1.6480579048373,1.64813722162883,0.757400860285198,NA,0.757400860285198,0.836976346305725,NA,1.3124007858298,2.08753197471484,2.17884396818166,0.25,-0.333139119743467,4.21394008485817,2.29316351037549,1.20874246854282,1.07319613826552,0.520833333333333,0.499209699264568,0.688781080591014,5.64031728517142,-0.8,2.125,0.960929922363881,0.087638248580806,NA,1.28326010643582,1.6461504300624,0.38920640509055,0.105225950182529,0.109994591101255,0.0490018754542313,-0.171842433931151,NA,2.08706939576557,2.15750733272857,0.243476430976431,-0.289038869023909,3.77591477951814,2.0717491799892,1.20813202975958,1.11429952223541,0.578914141414141,0.312634359638195,-0.00959238848234918,3.85206041875488
"Col-0","WW",3,"Low VPD",-0.0629845916465931,1.6480579048373,NA,NA,NA,NA,NA,1.3124007858298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,1.28326010643582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",3,"Control 2",-0.0629845916465931,1.6480579048373,1.62998879607182,NA,NA,0.739472917232108,0.790363891430658,NA,1.39755270206906,2.04154950621,2.183384345991,0.25,-0.605933738612692,2.96282078046884,4.37849851184402,1.21842808593363,1.05631847811859,0.520833333333333,0.712140989114014,-0.0879651787885827,6.97558325698607,2.20833333333333,3.125,0.997773295917371,0.0187687751845095,NA,1.39103721651527,1.64570384898731,0.352464622076717,0.176337647022697,0.135355756763927,0.0382555735252432,-0.0905933576682068,NA,2.06978219365703,2.19667695175534,0.161195286195286,-0.593629477942457,4.04232011578667,4.85464886525335,1.22375986524909,1.11257156086104,0.549873737373737,0.571372459402621,-1.27089790758987,4.58616127305097
"Col-0","WW",3,"High VPD",-0.0629845916465931,1.6480579048373,NA,NA,NA,NA,NA,1.39755270206906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,3.21527777777778,NA,NA,1.39103721651527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",3,"Control 3",-0.0629845916465931,1.6480579048373,1.68488673945265,NA,NA,0.621620238068948,0.832354374171384,NA,1.43692795293948,2.08253199279658,2.177535149088,0.125,-0.121504018949977,2.58222970015942,3.27565296944344,1.28724148610872,1.16797314109018,0.520833333333333,0.561296998642019,-0.405391844909837,5.16197276037065,3.21527777777778,4.14583333333333,0.995181032885269,0.0262259915812892,NA,1.41241917142444,1.6883889986015,0.375108356039766,0.102330830308341,0.187904774818268,0.0260659698303282,0.236199231665236,NA,2.08490476572251,2.16010783376462,0.0208333333333333,-0.389745910475906,0.7600535195197,3.10573873001318,1.29180010952784,1.19082417504186,0.598274410774411,0.418121972928232,-0.855000817566599,4.12144707884945
