"idObs","idPot","decimalDay","HourOnDay","E","nobs","min_decimalDay","max_decimalDay","surface","E_mmol_per_m2_s","idGenotype","idWatering","Sowing","Sowing_decimalDay","Measuring_decimalDay","Days_Sowing_to_measuring","meanVPD","E_mmol_per_m2_s_kPa","SWC","Time","Exact_Time_min"
1,"1",81.7291666666667,0.7291666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.395833333333343,570
2,"1",81.75,0.75,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.416666666666671,600
3,"1",81.7708333333333,0.7708333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.4375,630
4,"1",81.7916666666667,0.7916666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.458333333333343,660
5,"1",81.8125,0.8125,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.479166666666671,690
6,"1",81.8333333333333,0.8333333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.5,720
7,"1",81.8541666666667,0.8541666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.520833333333343,750
8,"1",81.875,0.875,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.541666666666671,780
9,"1",81.8958333333333,0.8958333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.5625,810
10,"1",81.9166666666667,0.9166666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.583333333333343,840
11,"1",81.9375,0.9375,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.604166666666671,870
12,"1",81.9583333333333,0.9583333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.625,900
13,"1",81.9791666666667,0.9791666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.645833333333343,930
14,"1",82,0,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.666666666666671,960
15,"1",82.0208333333333,0.0208333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.6875,990
16,"1",82.0416666666667,0.0416666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.708333333333343,1020
17,"1",82.0625,0.0625,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.729166666666671,1050
18,"1",82.0833333333333,0.0833333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.75,1080
19,"1",82.1041666666667,0.1041666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.770833333333343,1110
20,"1",82.125,0.125,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.791666666666671,1140
21,"1",82.1458333333333,0.1458333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.8125,1170
22,"1",82.1666666666667,0.1666666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.833333333333343,1200
23,"1",82.1875,0.1875,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.854166666666671,1230
24,"1",82.2083333333333,0.2083333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.875,1260
25,"1",82.2291666666667,0.2291666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.895833333333343,1290
26,"1",82.25,0.25,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.916666666666671,1320
27,"1",82.2708333333333,0.2708333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.9375,1350
28,"1",82.2916666666667,0.2916666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.958333333333343,1380
29,"1",82.3125,0.3125,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,0.979166666666671,1410
30,"1",82.3333333333333,0.3333333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1,1440
31,"1",82.3541666666667,0.3541666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.02083333333334,1470
32,"1",82.375,0.375,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.04166666666667,1500
33,"1",82.3958333333333,0.3958333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.0625,1530
34,"1",82.4166666666667,0.4166666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.08333333333334,1560
35,"1",82.4375,0.4375,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.10416666666667,1590
36,"1",82.4583333333333,0.4583333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.125,1620
37,"1",82.4791666666667,0.4791666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.14583333333334,1650
38,"1",82.5,0.5,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.16666666666667,1680
39,"1",82.5208333333333,0.5208333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.1875,1710
40,"1",82.5416666666667,0.5416666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.20833333333334,1740
41,"1",82.5625,0.5625,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.22916666666667,1770
42,"1",82.5833333333333,0.5833333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.25,1800
43,"1",82.6041666666667,0.6041666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.27083333333334,1830
44,"1",82.625,0.625,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.29166666666667,1860
45,"1",82.6458333333333,0.6458333333,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.3125,1890
46,"1",82.6666666666667,0.6666666667,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.33333333333334,1920
47,"1",82.6875,0.6875,NA,0,NA,NA,NA,NA,"Col-0","WW",2018-02-20,51,80,29,NA,NA,0,1.35416666666667,1950
