"Trt","idGenotype","idWatering","idPot","Time","Exact_Time_min","SWC","E_mmol_per_m2_s","E_clean","E_estimate","E_corr","meanVPD","E_mmol_per_m2_s_kPa","E_clean_per_kPa","E_estimate_per_kPa","E_corr_per_kPa"
"sex1-3 - WW","sex1-3","WW",101,-0.9375,-1350,1.68992692307692,1.64646228641924,1.64646228641924,NA,1.64646228641924,0.933238095238095,1.76424676062884,1.76424676062884,NA,1.76424676062884
"sex1-3 - WW","sex1-3","WW",101,-0.916666666666657,-1320,1.68950256410256,1.66927153027587,1.66927153027587,NA,1.66927153027587,0.93352,1.78814758149356,1.78814758149356,NA,1.78814758149356
"sex1-3 - WW","sex1-3","WW",101,-0.895833333333329,-1290,1.68907692307692,1.68897000512811,1.68897000512811,NA,1.68897000512811,0.932148148148148,1.81191155985612,1.81191155985612,NA,1.81191155985612
"sex1-3 - WW","sex1-3","WW",101,-0.875,-1260,1.68864475524476,1.70675464723342,1.70675464723342,NA,1.70675464723342,0.933290322580645,1.82874996765643,1.82874996765643,NA,1.82874996765643
"sex1-3 - WW","sex1-3","WW",101,-0.854166666666657,-1230,1.6882141025641,1.71837608310981,1.71837608310981,NA,1.71837608310981,0.932454545454545,1.84285238512313,1.84285238512313,NA,1.84285238512313
"sex1-3 - WW","sex1-3","WW",101,-0.833333333333329,-1200,1.68778579881657,1.72389803370439,1.72389803370439,NA,1.72389803370439,0.932944444444444,1.84780352567611,1.84780352567611,NA,1.84780352567611
"sex1-3 - WW","sex1-3","WW",101,-0.8125,-1170,1.68694556213018,1.74712302099955,1.74712302099955,NA,1.74712302099955,0.929297297297297,1.88004745745065,1.88004745745065,NA,1.88004745745065
"sex1-3 - WW","sex1-3","WW",101,-0.791666666666657,-1140,1.6860899408284,1.76292573503765,1.76292573503765,NA,1.76292573503765,0.930162162162162,1.89528859241031,1.89528859241031,NA,1.89528859241031
"sex1-3 - WW","sex1-3","WW",101,-0.770833333333329,-1110,1.6852449704142,1.77032736694944,1.77032736694944,NA,1.77032736694944,0.930942857142857,1.90164987395974,1.90164987395974,NA,1.90164987395974
"sex1-3 - WW","sex1-3","WW",101,-0.75,-1080,1.68437869822485,1.76022139233324,1.76022139233324,NA,1.76022139233324,0.928342857142857,1.89608976768631,1.89608976768631,NA,1.89608976768631
