"idGenotype","idWatering","SWC_drop","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW","moderate",73,"Control",0.0107050623528727,1.43378416058058,1.45045138879019,0.84417503083969,NA,0.84417503083969,1.03048609854641,NA,1.06137436970683,1.97154077896032,2.05053119744546,0.270833333333333,-0.164773190097631,4.55623006498662,2.08802319112419,0.929361998620059,0.796109481744992,0.520833333333333,0.553596287920355,0.0267871490272466,5.51777032983727,-0.5,1,0.99691657570845,0.0266608641313653,NA,1.0411173060188,1.45045138879019,0.453718943983363,0.136408162180845,0.0983965889732172,0.0465094049911013,-0.183039228440901,NA,1.97489997685144,2.05060034468812,0.238636363636364,-0.344595180673899,4.26198823119231,2.29554588177952,0.928538424491426,0.827220472716236,0.598274410774411,0.373144462557709,-0.969534783759325,4.10621456197221
"Col-0","WW","fast",74,"Control",-0.186171216626866,1.45910003496257,1.54777999748563,0.86645543797368,NA,0.86645543797368,1.14561922637182,NA,1.15365316855584,2.10318761202699,2.19798307147722,0.25,-0.126950505717827,4.90295077167013,2.36748157877078,0.992372382944265,0.813658929501239,0.520833333333333,0.709553194548736,0.376545625159196,7.41442637358959,-0.5,1,0.995774703612167,0.0334089341328069,NA,1.11021692628955,1.54777999748563,0.488676491052243,0.146628009786681,0.112940748238364,0.0648793877544035,-0.189984416728546,NA,2.10691587169787,2.19210549835985,0.248316498316498,-0.404969442755031,4.74215471630783,2.49593475926966,0.991957563684015,0.857172290142986,0.593434343434343,0.449734466786213,-0.439722918569535,5.4991789542058
"Col-0","WW","fast",75,"Control",-0.0656320655676547,1.53093524097517,1.54397168972623,0.914855994937749,NA,0.914855994937749,1.07826786177162,NA,1.10144767187894,2.0933092480841,2.18007230007101,0.25,-0.147626858735706,4.85457909866688,2.3029814378217,0.99463413136836,0.867297935234204,0.520833333333333,0.488660319954226,0.443289361469204,5.29018891001528,-0.5,1,0.995474997135114,0.0340043441820614,NA,1.09027231404902,1.54397168972623,0.488612698769693,0.126120980245036,0.103215027743404,0.050574807790098,-0.174058777234071,NA,2.0966700552099,2.174961700355,0.238636363636364,-0.33112070500004,4.27392809410724,2.3387711146171,0.994224765399493,0.89311394827777,0.588594276094276,0.35684077405673,-0.441544616798857,4.13160482809145
"Col-0","WW","moderate",76,"Control",0.00773505065503154,1.46315716547655,1.49023668786138,0.808572980663364,NA,0.808572980663364,1.07224848833261,NA,1.10099313759718,2.01782479388286,2.12021982390809,0.0416666666666667,-0.0686569377859598,5.3873740929688,3.82509198742123,0.9626485818399,0.804419513905495,0.520833333333333,0.618936258139167,0.429505463025832,6.56857947344378,-0.5,1,0.995366344842548,0.0331516897623666,NA,1.0754351677886,1.49023668786138,0.485750881679713,0.118924352795068,0.146476254617805,0.0394167814085955,-0.198687573278979,NA,2.0200341748459,2.0749341352132,0.214436026936027,-0.397618276970237,2.80682161799565,2.01829398822515,0.962260450373287,0.847357061191282,0.588594276094276,0.428280522199792,-0.44196793905866,4.70882590036772
"Col-0","WW","fast",77,"Control",-0.0926716843046253,1.55248744471931,1.59059551340359,0.903825784559478,NA,0.903825784559478,1.21475733655095,NA,1.14563551470545,2.17378945200884,2.26622724182693,0.25,-0.0144139094837174,5.52016016169348,2.37066151970993,1.00740157479834,0.827797297753037,0.520833333333333,0.663314539726782,0.893599282184663,7.47285037309972,-0.5,1,0.995884196264339,0.034486284818029,NA,1.10952102727404,1.59059551340359,0.5198970566945,0.136982664822861,0.110430464135113,0.061448306134082,-0.177022889835328,NA,2.17751089909532,2.26485889526129,0.243476430976431,-0.376045865491013,4.73839906583772,2.57696937943324,1.00719316181145,0.885425934019777,0.583754208754209,0.409479156391893,-0.17679911427814,4.98879441802932
"Col-0","WW","fast",78,"Control",-0.192938670545382,1.60909220360436,1.72477040511404,1.03264137514526,NA,1.03264137514526,1.30339562044945,NA,1.24892042149073,2.36809281566284,2.48696372147199,0.25,-0.211368037673641,5.92579921188191,3.18754351064099,1.08144799456524,0.876885658134587,0.520833333333333,0.776420375699777,0.8011420453116,8.50226164678367,-0.5,1,0.997457234524896,0.031098251810293,NA,1.206461459026,1.72477040511404,0.572701748692264,0.161475275473526,0.119158159677583,0.0739143056048494,-0.182375305114528,NA,2.37231133927865,2.47150870774955,0.243476430976431,-0.466622062716402,5.37298680521712,2.97303189535919,1.08128195276476,0.927718845612785,0.583754208754209,0.511436803782256,-0.110925484889814,6.29525597747715
"Col-0","WW","moderate",79,"Control",-0.0582094107739593,1.45091246411496,1.41060818653403,0.748713653706792,NA,0.748713653706792,1.16519630569428,NA,1.03072018397526,1.92438639384683,2.00440031984549,0.1875,0.177125264439774,4.42870393936673,1.97262042020038,0.896829979221235,0.699110054531829,0.520833333333333,0.692055922316724,1.37872195060422,8.24305163008328,-0.5,1,0.992561842916382,0.0424310094464959,NA,0.965946843571754,1.41060818653403,0.479395335807358,0.0941172018166739,0.142388920328976,0.0607928705057141,-0.195125615504846,NA,1.92692087601384,1.98850271908278,0.2628367003367,-0.298559621061295,3.24000769252598,1.68181983639129,0.897229761070341,0.778198929603484,0.578914141414141,0.343727463636714,0.570071633290419,4.89348288299708
"pgm","WW","slow",87,"Control",0.0567856894338584,1.56408692305081,1.52995513858036,0.70475625358607,NA,0.70475625358607,0.93866308446141,NA,1.03920593875196,2.02860131698382,2.16112088502595,0.270833333333333,0.56029955917392,6.49730974724812,1.45319000314783,1.0313089601769,1.00488016584962,0.854166666666667,-0.0721461729992972,-1.08786236498513,0.18637152897983,-0.5,1,0.987663908780985,0.0511515387032577,NA,1.02190853898771,1.52995513858036,0.388520834407373,0.181278183288499,-0.0591067383509429,0.0645006420853174,-0.171631233995401,NA,2.03393142736664,2.1639273530935,0.301557239057239,0.242841444835606,6.75780341282166,1.54954274571359,1.02980181129242,1.00318329269459,0.932239057239057,-0.211950386875008,-1.79376933538063,0.0341274651879491
"pgm","WW","slow",88,"Control",0.0531804241930745,1.44234306965791,1.42481335665067,0.545853603210719,NA,0.545853603210719,0.833126396479475,NA,1.00604064530941,1.85821549378732,1.99965721970448,0.291666666666667,0.560580958691803,7.43106487308273,1.48996922348505,0.99141121951402,0.981967748760981,0.8125,0.0389448707386427,-0.228911782215928,0.154608520652248,-0.5,1,0.980648422391104,0.0560452112456193,NA,0.980455777239997,1.42481335665067,0.327465866605302,0.172205135345038,-0.0522681250975225,0.0767979901483212,-0.176362559849417,NA,1.86370979687454,2.00128040112441,0.301557239057239,0.207028044360926,6.97721332401032,1.70088360211501,0.990328346801812,0.971473375256902,0.956439393939394,-0.165846211783964,-1.24906494445324,0.0107467023510476
"pgm","WW","slow",89,"Control",0.0591791063355103,1.5133868124756,1.48732233087884,0.553914736479083,NA,0.553914736479083,0.89400829899702,NA,1.06469425381187,1.92574227694093,2.03895577387388,0.291666666666667,0.659493963809576,6.44239545785007,1.03643149355477,1.04890238481674,1.03515127811219,0.5625,0.0502665144887278,-0.161950315631118,0.545209287925077,-0.5,1,0.976219186238663,0.0627629424153313,NA,1.03915595577965,1.48732233087884,0.351035703290605,0.142219670675577,-0.0529767124471194,0.0701458941466714,-0.185781006466974,NA,1.9303210309185,2.05058434806413,0.306397306397306,0.179122541533115,5.81589072885111,1.38354174578114,1.0480557870812,1.02414654245455,0.641835016835017,-0.133914503314858,-0.96976534259351,0.707395010023061
