idPot;idGenotype;idPotManip;Sowing
73;Col-0;C2M43-73;02/03/2018
74;Col-0;C2M43-74;02/03/2018
75;Col-0;C2M43-75;02/03/2018
76;Col-0;C2M43-76;02/03/2018
77;Col-0;C2M43-77;02/03/2018
78;Col-0;C2M43-78;02/03/2018
79;Col-0;C2M43-79;02/03/2018
87;pgm;C2M43-87;02/03/2018
88;pgm;C2M43-88;02/03/2018
89;pgm;C2M43-89;02/03/2018
90;pgm;C2M43-90;02/03/2018
91;pgm;C2M43-91;02/03/2018
92;pgm;C2M43-92;02/03/2018
93;pgm;C2M43-93;02/03/2018
101;sex1-3;C2M43-101;02/03/2018
102;sex1-3;C2M43-102;02/03/2018
103;sex1-3;C2M43-103;02/03/2018
104;sex1-3;C2M43-104;02/03/2018
105;sex1-3;C2M43-105;02/03/2018
106;sex1-3;C2M43-106;02/03/2018
107;sex1-3;C2M43-107;02/03/2018
108;bam1;C2M43-108;27/02/2018
109;bam1;C2M43-109;27/02/2018
110;bam1;C2M43-110;27/02/2018
111;bam1;C2M43-111;27/02/2018
112;bam1;C2M43-112;27/02/2018
113;bam1;C2M43-113;27/02/2018
114;bam1;C2M43-114;27/02/2018
115;bam3;C2M43-115;27/02/2018
116;bam3;C2M43-116;27/02/2018
117;bam3;C2M43-117;27/02/2018
118;bam3;C2M43-118;27/02/2018
119;bam3;C2M43-119;27/02/2018
120;bam3;C2M43-120;27/02/2018
121;bam3;C2M43-121;27/02/2018
122;bam1 bam3;C2M43-122;27/02/2018
123;bam1 bam3;C2M43-123;27/02/2018
124;bam1 bam3;C2M43-124;27/02/2018
125;bam1 bam3;C2M43-125;27/02/2018
126;bam1 bam3;C2M43-126;27/02/2018
127;bam1 bam3;C2M43-127;27/02/2018
128;bam1 bam3;C2M43-128;27/02/2018
