Date,Label,Area,mm2,Area (cm2),,,,
18/04/2018,C2M43-93-V-20180418-0021.JPG,409603,0.4096,47.71088523,,,,
13/04/2018,C2M43-93-V-20180413-0024.JPG,354165,0.3542,41.25342262,,,,
12/04/2018,C2M43-93-V-20180412-0009.JPG,322162,0.3222,37.52568757,,,,
18/04/2018,C2M43-92-V-20180418-0021.JPG,358098,0.3581,41.71154161,,,,
13/04/2018,C2M43-92-V-20180413-0024.JPG,306047,0.306,35.64859947,,,,
12/04/2018,C2M43-92-V-20180412-0009.JPG,274383,0.2744,31.96035142,,,,
18/04/2018,C2M43-91-V-20180418-0021.JPG,315205,0.3152,36.71533064,,,,
13/04/2018,C2M43-91-V-20180413-0024.JPG,239701,0.2397,27.9205643,,,,
12/04/2018,C2M43-91-V-20180412-0009.JPG,214119,0.2141,24.94075247,,,,
18/04/2018,C2M43-90-V-20180418-0021.JPG,339684,0.3397,39.56666415,,,,
13/04/2018,C2M43-90-V-20180413-0024.JPG,277227,0.2772,32.29162281,,,,
12/04/2018,C2M43-90-V-20180412-0009.JPG,258073,0.2581,30.06054956,,,,
18/04/2018,C2M43-89-V-20180418-0021.JPG,242147,0.2421,28.20547634,,,,
13/04/2018,C2M43-89-V-20180413-0023.JPG,189305,0.1893,22.05039789,,,,
12/04/2018,C2M43-89-V-20180412-0009.JPG,172206,0.1722,20.05869269,,,,
18/04/2018,C2M43-88-V-20180418-0021.JPG,257209,0.2572,29.95991015,,,,
13/04/2018,C2M43-88-V-20180413-0023.JPG,194674,0.1947,22.67578331,,,,
12/04/2018,C2M43-88-V-20180412-0009.JPG,175490,0.1755,20.44121564,,,,
18/04/2018,C2M43-87-V-20180418-0021.JPG,221463,0.2215,25.79618747,,,,
13/04/2018,C2M43-87-V-20180413-0024.JPG,158286,0.1583,18.43727995,,,,
12/04/2018,C2M43-87-V-20180412-0009.JPG,146466,0.1465,17.06047689,,,,
13/04/2018,C2M43-79-V-20180413-0024.JPG,497174,0.4972,57.91122538,,,,
12/04/2018,C2M43-79-V-20180412-0009.JPG,451887,0.4519,52.63615938,,,,
13/04/2018,C2M43-78-V-20180413-0023.JPG,638457,0.6385,74.36798229,,,,
12/04/2018,C2M43-78-V-20180412-0009.JPG,563497,0.5635,65.6365815,,,,
13/04/2018,C2M43-77-V-20180413-0023.JPG,508729,0.5087,59.25716103,,,,
12/04/2018,C2M43-77-V-20180412-0009.JPG,445973,0.446,51.94729193,,,,
13/04/2018,C2M43-76-V-20180413-0024.JPG,483613,0.4836,56.33162925,,,,
12/04/2018,C2M43-76-V-20180412-0009.JPG,423181,0.4232,49.29246153,,,,
13/04/2018,C2M43-75-V-20180413-0023.JPG,547254,0.5473,63.74458386,,,,
12/04/2018,C2M43-75-V-20180412-0009.JPG,501582,0.5016,58.42467275,,,,
13/04/2018,C2M43-74-V-20180413-0023.JPG,586082,0.5861,68.26730037,,,,
12/04/2018,C2M43-74-V-20180412-0009.JPG,525532,0.5255,61.21438792,,,,
13/04/2018,C2M43-73-V-20180413-0024.JPG,476351,0.4764,55.48574568,,,,
12/04/2018,C2M43-73-V-20180412-0009.JPG,427100,0.4271,49.74894979,,,,
18/04/2018,C2M43-128-V-20180418-0021.JPG,482865,0.4829,56.24450161,,,,
13/04/2018,C2M43-128-V-20180413-0024.JPG,405231,0.4052,47.20163117,,,,
12/04/2018,C2M43-128-V-20180412-0009.JPG,375364,0.3754,43.72269911,,,,
18/04/2018,C2M43-127-V-20180418-0021.JPG,431046,0.431,50.20858302,,,,
13/04/2018,C2M43-127-V-20180413-0024.JPG,328118,0.3281,38.21944722,,,,
