"","file","pot_number","year","month","date","time","date_time","Rosette_area_px","Areamm2","X","Experiment","idPot","file_3","Date1","file_5","Year","Month","Day","idPotManip","idGenotype","Treatment","decimalDay","outlier"
"1","C2M47-217-V-20190228-0013.JPG",217,2019,"Mar","2019-02-28","14:24:50",321.142246953,154653,729.716656597,NA,"C2M47",217,"V",20190228,"0013.JPG","2019","02","28","C2M47-217","abcb14-1","WW",59.875,FALSE
"2","C2M47-217-V-20190302-0045.JPG",217,2019,"Mar","2019-03-02","14:24:50",321.142247185,241060,1137.42053009,NA,"C2M47",217,"V",20190302,"0045.JPG","2019","03","02","C2M47-217","abcb14-1","WW",61.9368055555556,FALSE
"4","C2M47-219-V-20190228-0013.JPG",219,2019,"Mar","2019-02-28","14:24:50",321.14224776,155766,734.968249769,NA,"C2M47",219,"V",20190228,"0013.JPG","2019","02","28","C2M47-219","mex1-1","WW",59.8756944444444,FALSE
"5","C2M47-219-V-20190302-0045.JPG",219,2019,"Mar","2019-03-02","14:24:50",321.142247995,192536,908.464279351,NA,"C2M47",219,"V",20190302,"0045.JPG","2019","03","02","C2M47-219","mex1-1","WW",61.9375,FALSE
"6","C2M47-220-V-20190228-0013.JPG",220,2019,"Mar","2019-02-28","14:24:50",321.142248228,335960,1585.19788139,NA,"C2M47",220,"V",20190228,"0013.JPG","2019","02","28","C2M47-220","bam1bam3","WW",59.8763888888889,FALSE
"7","C2M47-220-V-20190302-0045.JPG",220,2019,"Mar","2019-03-02","14:24:50",321.142248458,452270,2133.99644546,NA,"C2M47",220,"V",20190302,"0045.JPG","2019","03","02","C2M47-220","bam1bam3","WW",61.9381944444444,FALSE
"8","C2M47-221-V-20190228-0013.JPG",221,2019,"Mar","2019-02-28","14:24:50",321.142248737,270521,1276.42968232,NA,"C2M47",221,"V",20190228,"0013.JPG","2019","02","28","C2M47-221","ss4-3 ProStarv::LUC","WW",59.8763888888889,FALSE
"9","C2M47-221-V-20190302-0045.JPG",221,2019,"Mar","2019-03-02","14:24:50",321.142248917,400957,1891.88054211,NA,"C2M47",221,"V",20190302,"0045.JPG","2019","03","02","C2M47-221","ss4-3 ProStarv::LUC","WW",61.9381944444444,FALSE
"10","C2M47-222-V-20190228-0013.JPG",222,2019,"Mar","2019-02-28","14:24:50",321.142249196,170853,806.154939959,NA,"C2M47",222,"V",20190228,"0013.JPG","2019","02","28","C2M47-222","Col-0 ProStarv::LUC","WW",59.8763888888889,FALSE
"11","C2M47-222-V-20190302-0045.JPG",222,2019,"Mar","2019-03-02","14:24:50",321.142249501,253665,1196.89612032,NA,"C2M47",222,"V",20190302,"0045.JPG","2019","03","02","C2M47-222","Col-0 ProStarv::LUC","WW",61.9388888888889,FALSE
"12","C2M47-223-V-20190228-0013.JPG",223,2019,"Mar","2019-02-28","14:24:50",321.142249728,86098,406.245884009,NA,"C2M47",223,"V",20190228,"0013.JPG","2019","02","28","C2M47-223","mex1-1","WW",59.8819444444444,FALSE
"13","C2M47-223-V-20190302-0045.JPG",223,2019,"Mar","2019-03-02","14:24:50",321.142249961,122693,578.916191395,NA,"C2M47",223,"V",20190302,"0045.JPG","2019","03","02","C2M47-223","mex1-1","WW",61.9430555555556,FALSE
"14","C2M47-224-V-20190228-0013.JPG",224,2019,"Mar","2019-02-28","14:24:50",321.142250193,49515,233.632197574,NA,"C2M47",224,"V",20190228,"0013.JPG","2019","02","28","C2M47-224","Col-0","WS",59.8826388888889,FALSE
"15","C2M47-224-V-20190302-0045.JPG",224,2019,"Mar","2019-03-02","14:24:50",321.142250423,81780,385.871778604,NA,"C2M47",224,"V",20190302,"0045.JPG","2019","03","02","C2M47-224","Col-0","WS",61.9430555555556,FALSE
"16","C2M47-225-V-20190228-0013.JPG",225,2019,"Mar","2019-02-28","14:24:50",321.142250654,115272,543.900851838,NA,"C2M47",225,"V",20190228,"0013.JPG","2019","02","28","C2M47-225","Col-0 ProStarv::LUC","WW",59.8826388888889,FALSE
"17","C2M47-225-V-20190302-0045.JPG",225,2019,"Mar","2019-03-02","14:24:50",321.142250925,174770,824.636961931,NA,"C2M47",225,"V",20190302,"0045.JPG","2019","03","02","C2M47-225","Col-0 ProStarv::LUC","WW",61.94375,FALSE
"18","C2M47-226-V-20190228-0013.JPG",226,2019,"Mar","2019-02-28","14:24:50",321.142251118,182775,862.407854419,NA,"C2M47",226,"V",20190228,"0013.JPG","2019","02","28","C2M47-226","sex1-3","WW",59.8826388888889,FALSE
"19","C2M47-226-V-20190302-0045.JPG",226,2019,"Mar","2019-03-02","14:24:50",321.142251349,259803,1225.85773657,NA,"C2M47",226,"V",20190302,"0045.JPG","2019","03","02","C2M47-226","sex1-3","WW",61.94375,FALSE
"20","C2M47-227-V-20190228-0013.JPG",227,2019,"Mar","2019-02-28","14:24:50",321.14225158,138900,655.387503646,NA,"C2M47",227,"V",20190228,"0013.JPG","2019","02","28","C2M47-227","sex1-3","WW",59.8826388888889,FALSE
"21","C2M47-227-V-20190302-0045.JPG",227,2019,"Mar","2019-03-02","14:24:50",321.142251811,195048,920.316931685,NA,"C2M47",227,"V",20190302,"0045.JPG","2019","03","02","C2M47-227","sex1-3","WW",61.94375,FALSE
"22","C2M47-228-V-20190228-0013.JPG",228,2019,"Mar","2019-02-28","14:24:50",321.142252082,155800,735.128675795,NA,"C2M47",228,"V",20190228,"0013.JPG","2019","02","28","C2M47-228","bam1bam3","WW",59.8833333333333,FALSE
"23","C2M47-228-V-20190302-0045.JPG",228,2019,"Mar","2019-03-02","14:24:50",321.142252276,218042,1028.81210993,NA,"C2M47",228,"V",20190302,"0045.JPG","2019","03","02","C2M47-228","bam1bam3","WW",61.9444444444444,FALSE
"24","C2M47-229-V-20190228-0013.JPG",229,2019,"Mar","2019-02-28","14:24:50",321.142252622,125779,593.477212535,NA,"C2M47",229,"V",20190228,"0013.JPG","2019","02","28","C2M47-229","amy3-2 bam1","WW",59.875,FALSE
"25","C2M47-229-V-20190302-0045.JPG",229,2019,"Mar","2019-03-02","14:24:50",321.142252854,199408,940.889210417,NA,"C2M47",229,"V",20190302,"0045.JPG","2019","03","02","C2M47-229","amy3-2 bam1","WW",61.9375,FALSE
"26","C2M47-230-V-20190228-0013.JPG",230,2019,"Mar","2019-02-28","14:24:50",321.142253087,136311,643.171533545,NA,"C2M47",230,"V",20190228,"0013.JPG","2019","02","28","C2M47-230","amy3-2 bam1","WW",59.8756944444444,FALSE
"27","C2M47-230-V-20190302-0045.JPG",230,2019,"Mar","2019-03-02","14:24:50",321.142253432,241786,1140.8460976,NA,"C2M47",230,"V",20190302,"0045.JPG","2019","03","02","C2M47-230","amy3-2 bam1","WW",61.9375,FALSE
"28","C2M47-231-V-20190228-0013.JPG",231,2019,"Mar","2019-02-28","14:24:50",321.142253664,243198,1147.50849612,NA,"C2M47",231,"V",20190228,"0013.JPG","2019","02","28","C2M47-231","pgi1-1","WW",59.8756944444444,FALSE
"29","C2M47-231-V-20190302-0045.JPG",231,2019,"Mar","2019-03-02","14:24:50",321.142253899,362090,1708.4900014,NA,"C2M47",231,"V",20190302,"0045.JPG","2019","03","02","C2M47-231","pgi1-1","WW",61.9375,FALSE
"30","C2M47-232-V-20190228-0013.JPG",232,2019,"Mar","2019-02-28","14:24:50",321.142254129,160940,759.381316319,NA,"C2M47",232,"V",20190228,"0013.JPG","2019","02","28","C2M47-232","amy3-2 bam1","WW",59.8763888888889,FALSE
"31","C2M47-232-V-20190302-0045.JPG",232,2019,"Mar","2019-03-02","14:24:50",321.1422544,251893,1188.53509327,NA,"C2M47",232,"V",20190302,"0045.JPG","2019","03","02","C2M47-232","amy3-2 bam1","WW",61.9381944444444,FALSE
"32","C2M47-233-V-20190228-0013.JPG",233,2019,"Mar","2019-02-28","14:24:50",321.142254706,273854,1292.15615136,NA,"C2M47",233,"V",20190228,"0013.JPG","2019","02","28","C2M47-233","pgm-1","WW",59.8763888888889,FALSE
"33","C2M47-233-V-20190302-0045.JPG",233,2019,"Mar","2019-03-02","14:24:50",321.142254935,377367,1780.57318998,NA,"C2M47",233,"V",20190302,"0045.JPG","2019","03","02","C2M47-233","pgm-1","WW",61.9381944444444,FALSE
"34","C2M47-234-V-20190228-0013.JPG",234,2019,"Mar","2019-02-28","14:24:50",321.142255171,468925,2212.58160653,NA,"C2M47",234,"V",20190228,"0013.JPG","2019","02","28","C2M47-234","dpe1-2","WW",59.8763888888889,FALSE
"35","C2M47-234-V-20190302-0045.JPG",234,2019,"Mar","2019-03-02","14:24:50",321.142255402,633366,2988.4820852,NA,"C2M47",234,"V",20190302,"0045.JPG","2019","03","02","C2M47-234","dpe1-2","WW",61.9388888888889,FALSE
"36","C2M47-235-V-20190228-0013.JPG",235,2019,"Mar","2019-02-28","14:24:50",321.142255621,136563,644.360573509,NA,"C2M47",235,"V",20190228,"0013.JPG","2019","02","28","C2M47-235","isa1-1 ProStarv::LUC","WW",59.8819444444444,FALSE
"37","C2M47-235-V-20190302-0045.JPG",235,2019,"Mar","2019-03-02","14:24:50",321.142255908,209036,986.31808648,NA,"C2M47",235,"V",20190302,"0045.JPG","2019","03","02","C2M47-235","isa1-1 ProStarv::LUC","WW",61.9430555555556,FALSE
"39","C2M47-237-V-20190228-0013.JPG",237,2019,"Mar","2019-02-28","14:24:50",321.14225644,141348,666.938177576,NA,"C2M47",237,"V",20190228,"0013.JPG","2019","02","28","C2M47-237","dpe2-5","WW",59.8826388888889,FALSE
