idPotManip;idManip;idGenotype;positionPot;bloc;poidsPotNonTroue;poidsPotTroue;poidsSolSec;dateSemis;nbPlante;substrat;humiditeNiveau1;humiditeNiveau2;humiditeNiveau3;humiditeNiveau4;humiditeNiveau5;typePot;Grille
C2M47-1;C2M47;0;P1_A1;1;15.177;15.296;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-2;C2M47;0;P1_A7;1;15.545;15.373;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-3;C2M47;0;P1_A13;1;14.793;15.327;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-4;C2M47;0;P1_A19;1;14.546;15.373;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-5;C2M47;0;P1_A25;1;15.105;15.71;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-6;C2M47;0;P1_A31;1;15.285;15.659;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-7;C2M47;0;P8_A1;1;15.699;14.989;0;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-8;C2M47;0;P8_A7;1;15.097;14.962;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-9;C2M47;0;P8_A13;1;15.495;15.127;0;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-10;C2M47;0;P8_A19;1;15.368;16.039;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-11;C2M47;0;P8_A25;1;15.316;15.344;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-12;C2M47;0;P8_A31;1;15.068;14.455;0;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-13;C2M47;0;P1_A2;1;15.394;14.941;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-14;C2M47;0;P1_A8;1;15.526;14.383;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-15;C2M47;0;P1_A14;1;14.378;14.78;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-16;C2M47;0;P1_A20;1;15.544;15.383;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-17;C2M47;0;P1_A26;1;15.303;14.796;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-18;C2M47;0;P1_A32;1;15.442;14.543;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-19;C2M47;0;P8_A2;1;15.602;15.179;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-20;C2M47;0;P8_A8;1;15.408;15.012;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-21;C2M47;0;P8_A14;1;15.373;15.137;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-22;C2M47;0;P8_A20;1;14.868;15.386;0;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-23;C2M47;0;P8_A26;1;15.457;14.609;0;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-24;C2M47;0;P8_A32;1;15.448;15.363;0;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-25;C2M47;Bam1-3;P1_A3;1;14.56;15.19;68.3032;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-26;C2M47;Col-0;P1_A9;1;15.52;14.85;71.7648;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-27;C2M47;Col-0;P1_A15;1;15.59;14.92;74.093;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-28;C2M47;Col-0;P1_A21;1;14.64;14.44;70.8725;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-29;C2M47;Col-0ProStarv::LUC;P1_A27;1;14.72;15.04;71.5391;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-30;C2M47;Dpe2;P1_A33;1;15.51;14.35;73.4058;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-31;C2M47;mex1-1;P8_A3;1;15.26;15.54;70.0314;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-32;C2M47;isa1-1ProStarv::LUC;P8_A9;1;15.28;14.83;71.252;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-33;C2M47;pgm;P8_A15;1;15.23;15.23;72.1494;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-34;C2M47;Col-0ProStarv::LUC;P8_A21;1;15.34;15.64;70.9853;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-35;C2M47;abcb14-2;P8_A27;1;15.25;15.01;70.293;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-36;C2M47;pgm;P8_A33;1;15.04;14.88;71.8571;18/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-37;C2M47;amy3-2;P1_A4;1;15.4;15.34;70.3545;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-38;C2M47;Bam1;P1_A10;1;15.93;15.48;71.0007;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-39;C2M47;ss4-3ProStarv::LUC;P1_A16;1;15.16;14.8;70.2981;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-40;C2M47;amy3-2bam1;P1_A22;1;15.26;15.45;68.6571;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-41;C2M47;amy3-2;P1_A28;1;15.81;15.29;72.2981;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-42;C2M47;pgi1-1;P1_A34;1;15.03;15.33;72.3084;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-43;C2M47;Col-0;P8_A4;1;15.64;15.57;68.8981;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-44;C2M47;Dpe1;P8_A10;1;14.97;15.49;73.3699;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-45;C2M47;abcb14-2;P8_A16;1;14.62;15.35;71.6315;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-46;C2M47;mex1-1;P8_A22;1;15.65;14.55;74.0212;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-47;C2M47;Dpe1;P8_A28;1;15.41;14.63;73.0828;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-48;C2M47;Col-0;P8_A34;1;15.77;14.62;72.052;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-49;C2M47;Col-0ProStarv::LUC;P1_A5;1;14.48;14.54;71.7443;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-50;C2M47;Col-0;P1_A11;1;14.83;14.63;74.3187;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-51;C2M47;amy3-2;P1_A17;1;15.69;15.55;71.9648;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-52;C2M47;Col-0;P1_A23;1;15.49;15.45;71.9904;01/02/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-53;C2M47;Sex1;P1_A29;1;14.86;15.3;73.7802;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-54;C2M47;Bam3;P1_A35;1;14.79;15.25;69.3237;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-55;C2M47;pgm;P8_A5;1;14.93;14.42;73.7597;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-56;C2M47;Col-0;P8_A11;1;15.14;15.44;68.9237;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-57;C2M47;Col-0ProStarv::LUC;P8_A17;1;14.89;14.76;71.0161;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-58;C2M47;Col-0;P8_A23;1;15.14;14.6;72.9289;25/01/2019;1;Phenoarch;0;1;0;1;0;u;NON
C2M47-59;C2M47;Dpe1;P8_A29;1;15.28;15.35;70.293;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-60;C2M47;Sex1;P8_A35;1;15.44;14.83;72.1443;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-61;C2M47;amy3-2;P1_A6;1;14.86;15.22;71.6981;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-62;C2M47;Dpe2;P1_A12;1;15.48;15.39;70.8981;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-63;C2M47;Col-0;P1_A18;1;15.58;15.02;68.9853;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-64;C2M47;Col-0;P1_A24;1;14.77;14.64;70.7699;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-65;C2M47;Col-0ProStarv::LUC;P1_A30;1;15.62;14.08;70.3135;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-66;C2M47;mex1-1;P1_A36;1;15.59;15.02;70.4007;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-67;C2M47;Bam1-3;P8_A6;1;15.68;15.23;71.3648;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-68;C2M47;Bam1;P8_A12;1;15.8;14.8;69.6417;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-69;C2M47;ss4-3ProStarv::LUC;P8_A18;1;15.13;15.47;71.493;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-70;C2M47;Dpe1;P8_A24;1;15.09;14.73;70.3032;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-71;C2M47;Col-0;P8_A30;1;15.33;14.22;69.0109;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-72;C2M47;Col-0;P8_A36;1;15.95;14.46;70.6879;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-73;C2M47;Bam1-3;P2_A1;1;16.03;14.35;71.5391;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-74;C2M47;Sex1;P2_A7;1;15.52;14.87;70.175;18/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-75;C2M47;Col-0;P2_A13;1;15.02;14.38;70.6314;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-76;C2M47;Col-0;P2_A19;1;15.43;15.07;69.0058;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-77;C2M47;Col-0;P2_A25;1;16.06;14.64;72.3289;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-78;C2M47;isa1-1ProStarv::LUC;P2_A31;1;15.45;15.51;69.5443;01/02/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-79;C2M47;pgi1-1;P9_A1;1;15.28;14.95;70.8622;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
C2M47-80;C2M47;Bam3;P9_A7;1;15.87;16.08;69.4878;25/01/2019;1;Phenoarch;0;1;0;0;0;u;NON
