"idChambre","date","humidite","rayonnement","temperature","vpd"
"C2","2019-02-25 00:00:00",68.34,190.8,22.06,0.84
"C2","2019-02-25 00:10:00",67.22,192.3,22.06,0.869
"C2","2019-02-25 00:20:00",67.06,188.9,22.06,0.874
"C2","2019-02-25 00:30:00",66.95,190.3,22.03,0.875
"C2","2019-02-25 00:40:00",68.05,191.9,22.04,0.847
"C2","2019-02-25 00:50:00",66.09,191,22.13,0.903
"C2","2019-02-25 01:00:00",66.74,189.9,22.08,0.884
"C2","2019-02-25 01:10:00",67.4,190,21.98,0.861
"C2","2019-02-25 01:20:00",67.11,189,22.06,0.873
"C2","2019-02-25 01:30:00",66.37,187.2,22.12,0.895
"C2","2019-02-25 01:40:00",66.77,193,22.04,0.881
"C2","2019-02-25 01:50:00",67.21,191.2,22,0.867
"C2","2019-02-25 02:00:00",67.72,194.9,22.05,0.856
"C2","2019-02-25 02:10:00",67.98,193.4,22.11,0.852
"C2","2019-02-25 02:20:00",67.55,191.9,22.06,0.861
"C2","2019-02-25 02:30:00",66.39,192.6,22.1,0.894
"C2","2019-02-25 02:40:00",67,194.8,21.96,0.87
"C2","2019-02-25 02:50:00",67.46,193.3,22.04,0.862
"C2","2019-02-25 03:00:00",67.73,190.2,22.07,0.857
"C2","2019-02-25 03:10:00",66.56,190.8,22.06,0.887
"C2","2019-02-25 03:20:00",67.2,193.5,21.98,0.866
"C2","2019-02-25 03:30:00",67.8,195.3,22.07,0.855
"C2","2019-02-25 03:40:00",67.21,188.1,22.06,0.87
"C2","2019-02-25 03:50:00",67.16,193.9,22.03,0.87
"C2","2019-02-25 04:00:00",67.4,194,22.04,0.864
"C2","2019-02-25 04:10:00",67.65,188.3,22.04,0.857
"C2","2019-02-25 04:20:00",68.17,192.1,22.06,0.845
"C2","2019-02-25 04:30:00",67.01,193.6,22.07,0.876
"C2","2019-02-25 04:40:00",67.19,190.1,21.96,0.865
"C2","2019-02-25 04:50:00",67.66,187.4,21.96,0.853
"C2","2019-02-25 05:00:00",68.22,188.6,22.05,0.843
"C2","2019-02-25 05:10:00",66.21,187.2,22.17,0.902
"C2","2019-02-25 05:20:00",66.02,190.4,22.17,0.907
"C2","2019-02-25 05:30:00",67.04,186.7,21.99,0.871
"C2","2019-02-25 05:40:00",67.38,187.9,22,0.862
"C2","2019-02-25 05:50:00",67.99,187.7,21.95,0.844
"C2","2019-02-25 06:00:00",67.43,191,22.11,0.866
"C2","2019-02-25 06:10:00",69.23,0,21.57,0.793
"C2","2019-02-25 06:20:00",69.57,0,21.84,0.796
