"Trt","idGenotype","idWatering","idPot","Time","Exact_Time_min","SWC","E_mmol_per_m2_s","E_clean","E_estimate","E_corr","meanVPD","E_mmol_per_m2_s_kPa","E_clean_per_kPa","E_estimate_per_kPa","E_corr_per_kPa"
"Col-0 - WW","Col-0","WW",55,-0.729166666666671,-1050,1.34210934946061,1.1423663655815,1.1423663655815,NA,1.1423663655815,0.7613,1.50054691393865,1.50054691393865,NA,1.50054691393865
"Col-0 - WW","Col-0","WW",55,-0.708333333333336,-1020,1.34098652428172,1.13074080573446,1.13074080573446,NA,1.13074080573446,0.761,1.48586176837643,1.48586176837643,NA,1.48586176837643
"Col-0 - WW","Col-0","WW",55,-0.6875,-990,1.33986923831317,1.12078965506884,1.12078965506884,NA,1.12078965506884,0.760153846153846,1.47442476380236,1.47442476380236,NA,1.47442476380236
"Col-0 - WW","Col-0","WW",55,-0.666666666666671,-960,1.33876043864602,1.11142199516866,1.11142199516866,NA,1.11142199516866,0.758793103448276,1.46472337468262,1.46472337468262,NA,1.46472337468262
"Col-0 - WW","Col-0","WW",55,-0.645833333333336,-930,1.33763484798954,1.10824642696861,1.10824642696861,NA,1.10824642696861,0.7581875,1.46170495684591,1.46170495684591,NA,1.46170495684591
"Col-0 - WW","Col-0","WW",55,-0.625,-900,1.33563255966002,1.10248121981207,1.10248121981207,NA,1.10248121981207,0.757857142857143,1.45473488005362,1.45473488005362,NA,1.45473488005362
"Col-0 - WW","Col-0","WW",55,-0.604166666666671,-870,1.33342731829574,1.08822113092104,1.08822113092104,NA,1.08822113092104,0.7577,1.43621635333383,1.43621635333383,NA,1.43621635333383
"Col-0 - WW","Col-0","WW",55,-0.583333333333336,-840,1.33120137299771,1.07182310266178,1.07182310266178,NA,1.07182310266178,0.754833333333333,1.41994670257687,1.41994670257687,NA,1.41994670257687
"Col-0 - WW","Col-0","WW",55,-0.5625,-810,1.3290863027133,1.07935559353511,1.07935559353511,NA,1.07935559353511,0.754222222222222,1.43108431670831,1.43108431670831,NA,1.43108431670831
"Col-0 - WW","Col-0","WW",55,-0.541666666666671,-780,1.3290863027133,1.07935559353511,1.07935559353511,NA,1.07935559353511,0.754222222222222,1.43108431670831,1.43108431670831,NA,1.43108431670831
"Col-0 - WW","Col-0","WW",55,-0.520833333333336,-750,1.32802736655303,1.07788006413507,1.07788006413507,NA,1.07788006413507,0.753266666666667,1.43094087636304,1.43094087636304,NA,1.43094087636304
"Col-0 - WW","Col-0","WW",55,-0.5,-720,1.3269968399259,1.08216131676139,1.08216131676139,1.06556124636165,1.08216131676139,0.751833333333333,1.43936331203023,1.43936331203023,1.41728385683216,1.43936331203023
"Col-0 - WW","Col-0","WW",55,-0.479166666666671,-690,1.3215920235371,0.500514097478739,0.500514097478739,0.49879899211779,0.500514097478739,0.732111111111111,0.683658654926188,0.683658654926188,0.681315970414344,0.683658654926188
"Col-0 - WW","Col-0","WW",55,-0.458333333333336,-660,1.32113708183502,0.492294278807913,0.492294278807913,NA,0.492294278807913,0.733416666666667,0.671234103589928,0.671234103589928,NA,0.671234103589928
"Col-0 - WW","Col-0","WW",55,-0.4375,-630,1.32066735160884,0.48882062631985,0.48882062631985,NA,0.48882062631985,0.731933333333333,0.667848564969282,0.667848564969282,NA,0.667848564969282
"Col-0 - WW","Col-0","WW",55,-0.416666666666671,-600,1.32021493952272,0.476977223415542,0.476977223415542,NA,0.476977223415542,0.730166666666667,0.653244314196132,0.653244314196132,NA,0.653244314196132
"Col-0 - WW","Col-0","WW",55,-0.395833333333336,-570,1.31963967890741,0.472240835889005,0.472240835889005,NA,0.472240835889005,0.730458333333333,0.646499347517889,0.646499347517889,NA,0.646499347517889
"Col-0 - WW","Col-0","WW",55,-0.375,-540,1.31899150049036,0.467366535197362,0.467366535197362,NA,0.467366535197362,0.730766666666667,0.639556450117268,0.639556450117268,NA,0.639556450117268
"Col-0 - WW","Col-0","WW",55,-0.354166666666671,-510,1.31779993461916,0.459908116810523,0.459908116810523,NA,0.459908116810523,0.731142857142857,0.629026341866679,0.629026341866679,NA,0.629026341866679
"Col-0 - WW","Col-0","WW",55,-0.333333333333336,-480,1.31591297083288,0.45528190050662,0.45528190050662,NA,0.45528190050662,0.732416666666667,0.621615975205307,0.621615975205307,NA,0.621615975205307
"Col-0 - WW","Col-0","WW",55,-0.3125,-450,1.31530728996404,0.455990471317338,0.455990471317338,NA,0.455990471317338,0.733,0.622087955412466,0.622087955412466,NA,0.622087955412466
"Col-0 - WW","Col-0","WW",55,-0.291666666666671,-420,1.31464297389436,0.452649362980678,0.452649362980678,NA,0.452649362980678,0.732566666666667,0.617895112591361,0.617895112591361,NA,0.617895112591361
"Col-0 - WW","Col-0","WW",55,-0.270833333333336,-390,1.31393974065599,0.452212188083438,0.452212188083438,NA,0.452212188083438,0.733296296296296,0.616684129413244,0.616684129413244,NA,0.616684129413244
"Col-0 - WW","Col-0","WW",55,-0.25,-360,1.31315789473684,0.455311103389666,0.455311103389666,NA,0.455311103389666,0.734791666666667,0.619646525735865,0.619646525735865,NA,0.619646525735865
"Col-0 - WW","Col-0","WW",55,-0.229166666666671,-330,1.3106341941811,0.459005941189518,0.459005941189518,NA,0.459005941189518,0.73603125,0.623622898062437,0.623622898062437,NA,0.623622898062437
"Col-0 - WW","Col-0","WW",55,-0.208333333333336,-300,1.30939032363517,0.463912170013541,0.463912170013541,NA,0.463912170013541,0.73625,0.63010141937323,0.63010141937323,NA,0.63010141937323
"Col-0 - WW","Col-0","WW",55,-0.1875,-270,1.30725454941702,0.467094352131098,0.467094352131098,NA,0.467094352131098,0.735666666666667,0.63492662274277,0.63492662274277,NA,0.63492662274277
"Col-0 - WW","Col-0","WW",55,-0.166666666666671,-240,1.30636295708215,0.470720270760113,0.470720270760113,NA,0.470720270760113,0.734833333333333,0.640580998993123,0.640580998993123,NA,0.640580998993123
"Col-0 - WW","Col-0","WW",55,-0.145833333333336,-210,1.30450427310512,0.473159280182848,0.473159280182848,NA,0.473159280182848,0.734090909090909,0.644551341425551,0.644551341425551,NA,0.644551341425551
"Col-0 - WW","Col-0","WW",55,-0.125,-180,1.30333079074498,0.476445605306134,0.476445605306134,NA,0.476445605306134,0.734388888888889,0.64876472467739,0.64876472467739,NA,0.64876472467739
"Col-0 - WW","Col-0","WW",55,-0.104166666666671,-150,1.30234758090879,0.483283484666926,0.483283484666926,NA,0.483283484666926,0.7337,0.658693586843296,0.658693586843296,NA,0.658693586843296
"Col-0 - WW","Col-0","WW",55,-0.0833333333333357,-120,1.30134731238033,0.494449878536699,0.494449878536699,NA,0.494449878536699,0.7315625,0.675881935633249,0.675881935633249,NA,0.675881935633249
"Col-0 - WW","Col-0","WW",55,-0.0625,-90,1.30134731238033,0.494449878536699,0.494449878536699,NA,0.494449878536699,0.7315625,0.675881935633249,0.675881935633249,NA,0.675881935633249
"Col-0 - WW","Col-0","WW",55,-0.0416666666666714,-60,1.30134731238033,0.494449878536699,0.494449878536699,NA,0.494449878536699,0.7315625,0.675881935633249,0.675881935633249,NA,0.675881935633249
"Col-0 - WW","Col-0","WW",55,-0.0208333333333357,-30,1.30134731238033,0.494449878536699,0.494449878536699,NA,0.494449878536699,0.7315625,0.675881935633249,0.675881935633249,NA,0.675881935633249
"Col-0 - WW","Col-0","WW",55,0,0,1.30083360575351,0.490495980382678,0.490495980382678,0.502354671522399,0.490495980382678,0.729416666666667,0.672449647502814,0.672449647502814,0.688707421257715,0.672449647502814
"Col-0 - WW","Col-0","WW",55,0.0208333333333286,30,1.29628636809415,1.00407938033247,1.00407938033247,1.00148045157972,1.00407938033247,0.746444444444444,1.34514951220486,1.34514951220486,1.3416677678204,1.34514951220486
"Col-0 - WW","Col-0","WW",55,0.0416666666666643,60,1.29524626784352,1.03781915111558,1.03781915111558,NA,1.03781915111558,0.748083333333333,1.3873042011125,1.3873042011125,NA,1.3873042011125
"Col-0 - WW","Col-0","WW",55,0.0625,90,1.29413907439406,1.0658574719042,1.0658574719042,NA,1.0658574719042,0.749466666666667,1.42215460581418,1.42215460581418,NA,1.42215460581418
"Col-0 - WW","Col-0","WW",55,0.0833333333333286,120,1.29177109440267,1.11369495364754,1.11369495364754,NA,1.11369495364754,0.751523809523809,1.4819157284627,1.4819157284627,NA,1.4819157284627
"Col-0 - WW","Col-0","WW",55,0.104166666666664,150,1.28928348539333,1.14583908233686,1.14583908233686,NA,1.14583908233686,0.752111111111111,1.523497080962,1.523497080962,NA,1.523497080962
