"idGenotype","idWatering","idPot","idPeriod","diel_trend","diel_trend_baseline","E_diel_obs","A_rapid_op_obs","A_rapid_op_transition_obs","A_rapid_op_stable_obs","A_rapid_clo_obs","E_EON_before_obs","E_EON_obs","E_day_mean_obs","E_day_max_obs","t_day_max_obs","sigma_day_obs","Delta_day_obs","Sigma_preclo_obs","E_night_mean_obs","E_night_min_obs","t_night_min_obs","sigma_night_obs","Delta_night_obs","Sigma_preop_obs","t1_fit","t2_fit","adjR2","RMSE","E_EON_before_mod","E_EON_mod","E_mean","A_SQW","A1","phi1","A2","phi2","acclim_slope","E_day_mean_mod","E_day_max_mod","t_day_max_mod","sigma_day_mod","Delta_day_mod","Sigma_preclo_mod","E_night_mean_mod","E_night_min_mod","t_night_min_mod","sigma_night_mod","Delta_night_mod","Sigma_preop_mod"
"Col-0","WW",55,"Control 1",0.0306641129384942,0.819014154033478,0.828152770393856,0.555772501925508,NA,0.555772501925508,0.594674318395477,NA,0.507675874377482,1.17126446749669,1.33279099088278,0.125,0.0857479784173056,3.77016356294864,4.91417007005846,0.485041073291023,0.467985626171189,0.770833333333333,-0.00456157882780494,-1.02503574780287,0.440546474936189,-0.750694444444444,2.125,0.98116515522537,0.0464410811552387,NA,0.535752883128946,0.827616671790025,0.282028435446028,0.0972903009886771,0.0238855298828894,0.03075653801938,-0.0728353699385026,NA,1.17278864366255,1.23683313462263,0.20959595959596,-0.0985201394907676,3.28159053664305,1.88990241799343,0.483878306064651,0.465511302228516,0.83543771043771,0.0747989350056406,-1.42008349002948,0.326403455247457
"Col-0","WW",55,"High VPD",0.0306641129384942,0.819014154033478,NA,NA,NA,NA,NA,0.507675874377482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,0.535752883128946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",55,"Control 2",0.0306641129384942,0.819014154033478,0.796379530909975,NA,NA,0.470086328366467,0.53870415458385,NA,0.506236803793271,1.11793349515055,1.22692712621749,0.270833333333333,0.10212418240052,4.45083643640073,2.21376494644664,0.474825566669399,0.440402476008477,0.583333333333333,0.0410782375314082,-0.931805685301165,1.29724074402254,2.20833333333333,3.02152777777778,0.997448243520164,0.0149225783789703,NA,0.517325671066528,0.793920605414339,0.243129704586797,0.120013961658966,0.00765763419892086,0.0442493243293485,-0.163242073222074,NA,1.11674541612901,1.19832688859643,0.267676767676768,-0.048384999454179,4.73043115486738,1.6320560108455,0.473838943065509,0.441475150105998,0.627314814814815,0.0649024452020191,-1.16851143021052,1.19437731435413
"Col-0","WW",57,"Control 1",0.0460188945640402,0.818929112769219,0.828551019861255,0.542639457080134,NA,0.542639457080134,0.590335782291818,NA,0.543293850966495,1.14768252670863,1.31015012249229,0.125,0.0239520497529409,2.41966253125563,5.13248084835359,0.509419513013877,0.492803578148528,0.645833333333333,0.0755881072105735,-0.681034489923593,0.630793029366733,-0.750694444444444,2.125,0.97105625474861,0.053824456827058,NA,0.558392372561841,0.828107361954618,0.277789270330946,0.0703407789478038,0.0565941662657593,0.0211627124015616,-0.0706423907608324,NA,1.148544235597,1.19739571522397,0.195075757575758,-0.128121431858373,2.21045010947467,1.60479299196229,0.508629302191048,0.499374904670523,0.598274410774411,0.111356912233554,-0.965450710341681,0.36208922646074
"Col-0","WW",57,"High VPD",0.0460188945640402,0.818929112769219,NA,NA,NA,NA,NA,0.543293850966495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,0.558392372561841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",57,"Control 2",0.0460188945640402,0.818929112769219,0.788281562973038,NA,NA,0.415480633686618,0.57639438987227,NA,0.540386926950147,1.08979432873859,1.15993261456834,0.291666666666667,0.158645149352732,3.32506383875256,1.28710692073831,0.486768797207488,0.445645132406849,0.5625,0.177174863556455,-0.482543367073541,1.66778968987287,2.20833333333333,3.02152777777778,0.996251564529609,0.0169247987441712,NA,0.526614963521051,0.783483021811314,0.239833871708398,0.0903022522394009,0.0135105492826106,0.0395265856153671,-0.196309394004203,NA,1.0829035610832,1.14505954834381,0.291877104377104,-0.0414144025515997,3.42978203190818,1.06489284894279,0.485943629422466,0.443541051862373,0.632154882154882,0.0712472057519645,-0.987152872249453,1.58772868671332
"Col-0","WW",59,"Control 1",0.00367711644442643,0.92526479109731,0.932575516306503,0.607981419475204,NA,0.607981419475204,0.696640831130718,NA,0.586225491354554,1.3068614829987,1.43963025814494,0.125,0.126211616767455,3.56038728415505,3.85756147075495,0.558289549614308,0.538096871645154,0.729166666666667,0.0588167206005747,-0.598079624962693,0.667446404794209,-0.750694444444444,2.125,0.981964328498187,0.049575333293187,NA,0.602886020470465,0.932141713246479,0.314214348088302,0.0954273442695977,0.020676846909844,0.0279013157456838,-0.109954029558143,NA,1.30871904239974,1.36964408092322,0.233796296296296,-0.0819371104779968,3.45017226166415,1.60460296908945,0.557312032426655,0.547411612937378,0.63699494949495,0.0723745801004056,-1.18088812517455,0.336024984580189
"Col-0","WW",59,"High VPD",0.00367711644442643,0.92526479109731,NA,NA,NA,NA,NA,0.586225491354554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.125,2.20833333333333,NA,NA,0.602886020470465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Col-0","WW",59,"Control 2",0.00367711644442643,0.92526479109731,0.913157060365438,NA,NA,0.416783421714974,0.626617348975966,NA,0.638225758489335,1.24327319991415,1.3087637207973,0.270833333333333,0.309621401460408,3.60962520787461,1.09099398776032,0.583040920816726,0.539865729991254,0.5625,0.128292881519055,-1.05615366373449,1.70710430940241,2.20833333333333,3.02152777777778,0.994295998629943,0.0228278826224985,NA,0.608257604253068,0.90333663408052,0.26257049416604,0.0906298937798841,-0.0137648925774926,0.0454811185355283,-0.204356014868061,NA,1.22639613228034,1.29690630127107,0.306397306397306,0.0268203112883919,3.50315366242166,0.9278858799922,0.582220768804983,0.543288424722386,0.641835016835017,0.0109393570253912,-0.979387709144172,1.39454831156492
"Col-0","WW",61,"Control 1",0.0329973537795842,0.86382863566066,0.873481327720338,0.585100082496157,NA,0.585100082496157,0.63679268956718,NA,0.5308510679209,1.2370767760104,1.38347259536416,0.125,0.0903937286545531,4.29705193405797,4.24987979727076,0.509885879430272,0.494625172781541,0.729166666666667,0.0174864947980168,-0.724710921635651,0.414050617568607,-0.750694444444444,2.125,0.984354159214992,0.0448460495137971,NA,0.552649465769952,0.873279860533537,0.29563543436857,0.107448153151802,0.0122645784488963,0.0347233168943759,-0.101869563315694,NA,1.23982260111261,1.31092239660563,0.233796296296296,-0.0713013002695689,3.98816317585558,1.84563989195955,0.50882777121523,0.496652720142252,0.849957912457912,0.0558196778155553,-1.27349704410989,0.227332978189742
