idChamber;date;Air humidity;Air temperature;Light;VPD
C3;2018-02-19 00:00:00;61.66;16.93;7.65;0.739
C3;2018-02-19 00:10:00;63.97;17.41;7.71;0.717
C3;2018-02-19 00:20:00;60.91;16.56;7.59;0.736
C3;2018-02-19 00:30:00;62.55;17.51;7.46;0.749
C3;2018-02-19 00:40:00;61.43;16.71;7.52;0.732
C3;2018-02-19 00:50:00;62.1;17.25;7.39;0.746
C3;2018-02-19 01:00:00;60.1;16.97;7.65;0.771
C3;2018-02-19 01:10:00;62.79;16.78;7.65;0.711
C3;2018-02-19 01:20:00;62.35;17.51;7.65;0.753
C3;2018-02-19 01:30:00;61.78;16.5;7.39;0.717
C3;2018-02-19 01:40:00;63.01;17.42;7.52;0.736
C3;2018-02-19 01:50:00;61.09;16.93;7.59;0.749
C3;2018-02-19 02:00:00;62.87;17.28;7.59;0.731
C3;2018-02-19 02:10:00;60.45;16.88;7.46;0.76
C3;2018-02-19 02:20:00;61.16;16.89;7.71;0.746
C3;2018-02-19 02:30:00;63.71;17.3;7.59;0.717
C3;2018-02-19 02:40:00;59.9;16.65;7.59;0.759
C3;2018-02-19 02:50:00;63.41;17.55;7.65;0.734
C3;2018-02-19 03:00:00;60.75;16.42;7.65;0.733
C3;2018-02-19 03:10:00;62.05;17.44;7.65;0.755
C3;2018-02-19 03:20:00;61.54;16.66;7.71;0.728
C3;2018-02-19 03:30:00;62.33;17.2;7.65;0.739
C3;2018-02-19 03:40:00;61.5;17.07;7.59;0.747
C3;2018-02-19 03:50:00;61.19;17.04;7.59;0.752
C3;2018-02-19 04:00:00;63.2;17.07;7.71;0.715
C3;2018-02-19 04:10:00;61.21;16.93;7.71;0.747
C3;2018-02-19 04:20:00;62.13;17.36;7.59;0.749
C3;2018-02-19 04:30:00;60.6;16.72;7.71;0.75
C3;2018-02-19 04:40:00;63.73;17.55;7.65;0.727
C3;2018-02-19 04:50:00;59.67;16.65;7.65;0.763
C3;2018-02-19 05:00:00;63.41;17.35;7.65;0.724
C3;2018-02-19 05:10:00;61.07;16.74;7.71;0.74
C3;2018-02-19 05:20:00;63.89;17.33;7.71;0.715
C3;2018-02-19 05:30:00;61.58;16.68;7.59;0.73
C3;2018-02-19 05:40:00;61.87;17.08;7.71;0.741
C3;2018-02-19 05:50:00;62.27;17.2;7.65;0.739
C3;2018-02-19 06:00:00;60.97;16.91;7.71;0.751
C3;2018-02-19 06:10:00;61.98;17.28;7.71;0.749
C3;2018-02-19 06:20:00;61.31;16.6;7.65;0.73
C3;2018-02-19 06:30:00;63.25;17.43;7.65;0.732
C3;2018-02-19 06:40:00;60.49;16.7;7.46;0.751
C3;2018-02-19 06:50:00;63.17;17.55;7.65;0.738
C3;2018-02-19 07:00:00;60.44;16.68;7.65;0.75
C3;2018-02-19 07:10:00;62.84;17.21;7.71;0.73
C3;2018-02-19 07:20:00;61.55;16.97;7.65;0.742
C3;2018-02-19 07:30:00;62.16;17.12;7.71;0.739
C3;2018-02-19 07:40:00;60.81;16.93;7.71;0.755
C3;2018-02-19 07:50:00;62.69;17.2;7.71;0.732
C3;2018-02-19 08:00:00;60.78;17.02;7.65;0.76
C3;2018-02-19 08:10:00;66.87;18.72;143.5;0.715
C3;2018-02-19 08:20:00;68.26;19.95;161.2;0.739
C3;2018-02-19 08:30:00;67.74;20.03;160.2;0.755
C3;2018-02-19 08:40:00;68.43;20.14;159.2;0.745
C3;2018-02-19 08:50:00;67.31;19.88;159.9;0.758
C3;2018-02-19 09:00:00;67.22;19.88;157.7;0.761
C3;2018-02-19 09:10:00;67.56;20.06;157.7;0.761
C3;2018-02-19 09:20:00;66.8;20.16;159.5;0.783
C3;2018-02-19 09:30:00;67.29;20.13;159;0.77
C3;2018-02-19 09:40:00;67.32;19.94;163.1;0.76
C3;2018-02-19 09:50:00;67.92;20.23;161.2;0.761
C3;2018-02-19 10:00:00;67.21;20.17;159.5;0.775
C3;2018-02-19 10:10:00;67.66;20.04;162.3;0.758
C3;2018-02-19 10:20:00;68.28;20.46;164.7;0.762
C3;2018-02-19 10:30:00;67.5;20.14;157.7;0.766
C3;2018-02-19 10:40:00;67.6;20.14;152.6;0.763
C3;2018-02-19 10:50:00;68.34;20.45;165;0.761
C3;2018-02-19 11:00:00;67.38;20.02;165.3;0.763
C3;2018-02-19 11:10:00;67.73;20.36;159.7;0.771
C3;2018-02-19 11:20:00;67.73;20.34;160.1;0.77
C3;2018-02-19 11:30:00;67.61;20.25;158.8;0.769
C3;2018-02-19 11:40:00;67.45;20;157.6;0.761
C3;2018-02-19 11:50:00;67.53;20.32;157.9;0.774
C3;2018-02-19 12:00:00;68.36;20.3;158;0.753
C3;2018-02-19 12:10:00;68.09;20.29;161;0.759
C3;2018-02-19 12:20:00;67.27;20.1;160.7;0.77
C3;2018-02-19 12:30:00;67.81;20.34;162.8;0.768
C3;2018-02-19 12:40:00;67.56;19.89;162.6;0.753
C3;2018-02-19 12:50:00;67.37;20.34;159.1;0.779
C3;2018-02-19 13:00:00;67.84;20.42;164.6;0.771
C3;2018-02-19 13:10:00;67.24;19.78;163;0.755
C3;2018-02-19 13:20:00;67.71;20.33;161.9;0.77
C3;2018-02-19 13:30:00;67.87;20.1;159.9;0.755
C3;2018-02-19 13:40:00;67.43;20.25;162.6;0.773
C3;2018-02-19 13:50:00;67.45;20.11;162;0.766
C3;2018-02-19 14:00:00;68.26;20.4;162.8;0.76
C3;2018-02-19 14:10:00;67.08;20.23;164.2;0.78
C3;2018-02-19 14:20:00;67.21;19.94;151.1;0.763
C3;2018-02-19 14:30:00;68.61;20.53;165;0.758
C3;2018-02-19 14:40:00;67.66;19.9;149;0.751
C3;2018-02-19 14:50:00;68.06;20.38;161.7;0.764
C3;2018-02-19 15:00:00;67.79;20.11;165.2;0.758
C3;2018-02-19 15:10:00;67.07;19.93;151.8;0.766
C3;2018-02-19 15:20:00;68.27;20.54;164.8;0.766
C3;2018-02-19 15:30:00;67.32;20.02;165.4;0.765
C3;2018-02-19 15:40:00;67.24;20.2;153.1;0.775
C3;2018-02-19 15:50:00;67.86;20.41;165.3;0.771
C3;2018-02-19 16:00:00;66.92;19.97;166;0.772
C3;2018-02-19 16:10:00;68.01;20.3;149.6;0.761
C3;2018-02-19 16:20:00;68.17;20.31;153.7;0.758
C3;2018-02-19 16:30:00;68.14;20.21;161.8;0.754
C3;2018-02-19 16:40:00;67.81;20.04;148;0.754
C3;2018-02-19 16:50:00;68.3;20.32;157.8;0.755
C3;2018-02-19 17:00:00;67.2;19.81;158.6;0.758
C3;2018-02-19 17:10:00;68.59;20.34;146.3;0.75
C3;2018-02-19 17:20:00;67.94;20.29;157.3;0.763
C3;2018-02-19 17:30:00;67.06;19.88;157.5;0.764
C3;2018-02-19 17:40:00;68.12;20.38;144.7;0.763
C3;2018-02-19 17:50:00;67.89;20;155.8;0.75
C3;2018-02-19 18:00:00;67.66;20.18;154.7;0.764
C3;2018-02-19 18:10:00;68.32;20.19;147.9;0.749
C3;2018-02-19 18:20:00;67.81;19.93;158.2;0.749
C3;2018-02-19 18:30:00;67.91;20.29;158.9;0.763
C3;2018-02-19 18:40:00;68.52;20.31;145.2;0.75
C3;2018-02-19 18:50:00;67.86;19.91;160.8;0.747
C3;2018-02-19 19:00:00;68.96;20.41;162.2;0.744
C3;2018-02-19 19:10:00;68.17;20.01;147;0.744
C3;2018-02-19 19:20:00;68.08;20.29;157.5;0.759
C3;2018-02-19 19:30:00;68.12;20.21;157.9;0.754
C3;2018-02-19 19:40:00;67.51;19.9;147.8;0.755
