idPotManip;idManip;idGenotype;positionPot;bloc;poidsPotNonTroue;poidsPotTroue;poidsSolSec;dateSemis;nbPlante;substrat;humiditeNiveau1;humiditeNiveau2;humiditeNiveau3;humiditeNiveau4;humiditeNiveau5
C3M31-1;C3M31;Col-0(18);P02_A01;1;15.81;15.04;66.36;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-3;C3M31;Col-0(18);P02_A25;1;14.64;14.83;66.94;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-5;C3M31;Col-0(18);P09_A13;1;14.64;14.63;65.75;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-7;C3M31;Col-0(18);P02_A08;1;15.35;15.08;66.52;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-9;C3M31;Col-0(18);P02_A32;1;14.8;15.3;66.4;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-11;C3M31;Col-0(18);P09_A20;1;14.67;14.99;64.95;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-13;C3M31;Col-0(18);P02_A03;1;15.01;14.6;68.82;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-15;C3M31;Col-0(18);P02_A27;1;14.58;15.2;65.43;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-17;C3M31;Col-0(18);P09_A15;1;14.94;15.42;66.46;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-19;C3M31;Col-0(18);P02_A10;1;14.75;14.76;70.22;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-21;C3M31;Col-0(18);P02_A34;1;15.29;15.39;70.43;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-23;C3M31;Col-0(18);P09_A22;1;14.51;14.47;67.39;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-25;C3M31;Col-0(18);P02_A05;1;14.95;15.09;68.4;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-27;C3M31;Col-0(18);P02_A29;1;14.72;15.24;67.32;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-29;C3M31;Col-0(18);P09_A17;1;15.41;14.36;69.69;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-31;C3M31;Col-0(18);P02_A12;1;14.88;14.52;70.21;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-33;C3M31;Col-0(18);P02_A36;1;14.74;15.35;67.4;20/12/2017;1;Phenopsis;0;1;0;0;0
C3M31-35;C3M31;Col-0(18);P09_A24;1;15.22;15.36;66.32;20/12/2017;1;Phenopsis;0;1;0;0;0
