idPotManip,idGenotype,Treatment,Analysis
C2M47-25,bam1bam3,WW,ST
C2M47-26,Col-0,WW,ST_FINE
C2M47-27,Col-0,WW,ST_FINE
C2M47-28,Col-0,WW,ST
C2M47-29,Col-0 ProStarv::LUC,WW,ST
C2M47-30,dpe2-5,WW,ST
C2M47-31,mex1-1,WW,ST
C2M47-32,isa1-1 ProStarv::LUC,WW,ST
C2M47-33,pgm-1,WW,ST
C2M47-34,Col-0 ProStarv::LUC,WW,ST
C2M47-101,abcb14-1,WW,ST
C2M47-36,pgm-1,WS,ST
C2M47-37,amy3-2,WW,ST
C2M47-38,bam1,WW,ST
C2M47-39,ss4-3 ProStarv::LUC,WW,ST
C2M47-40,amy3-2 bam1,WW,ST
C2M47-41,amy3-2,WW,ST
C2M47-42,pgi1-1,WW,ST
C2M47-43,Col-0,WW,ST
C2M47-44,dpe1-2,WW,ST
C2M47-111,abcb14-1,WW,ST
C2M47-46,mex1-1,WW,ST
C2M47-47,dpe1-2,WW,ST
C2M47-48,Col-0,WW,ST_FINE
C2M47-49,Col-0 ProStarv::LUC,WW,ST
C2M47-50,Col-0,WW,ST_FINE
C2M47-51,amy3-2,WW,ST
C2M47-52,Col-0,WS,ST
C2M47-53,sex1-3,WW,ST
C2M47-54,bam3,WW,ST
C2M47-55,pgm-1,WW,ST
C2M47-56,Col-0,WW,ST_ENV
C2M47-57,Col-0 ProStarv::LUC,WW,ST
C2M47-58,Col-0,WS,ST
C2M47-59,dpe1-2,WW,ST
C2M47-60,sex1-3,WW,ST
C2M47-61,amy3-2,WW,ST
C2M47-62,dpe2-5,WW,ST
C2M47-63,Col-0,WW,ST_ENV
C2M47-64,Col-0,WW,ST_ENV
C2M47-65,Col-0 ProStarv::LUC,WW,ST
C2M47-66,mex1-1,WW,ST
C2M47-67,bam1bam3,WW,ST
C2M47-68,bam1,WW,ST
C2M47-69,ss4-3 ProStarv::LUC,WW,ST
C2M47-70,dpe1-2,WW,ST
C2M47-71,Col-0,WW,ST_ENV
C2M47-72,Col-0,WW,ST_FINE
C2M47-73,bam1bam3,WW,ST
C2M47-74,sex1-3,WW,ST
C2M47-75,Col-0,WW,ST_ENV
C2M47-76,Col-0,WW,ST_ENV
C2M47-77,Col-0,WW,ST_ENV
C2M47-78,isa1-1 ProStarv::LUC,WW,ST
C2M47-79,pgi1-1,WW,ST
C2M47-80,bam3,WW,ST
C2M47-81,dpe1-2,WW,ST
C2M47-82,bam3,WW,ST
C2M47-83,ss4-3 ProStarv::LUC,WW,ST
C2M47-84,Col-0,WW,ST_FINE
C2M47-85,Col-0,WW,ST_FINE
C2M47-86,amy3-2,WW,ST
C2M47-87,Col-0,WW,ST_FINE
C2M47-88,mex1-1,WW,ST
C2M47-89,bam1bam3,WW,ST
C2M47-90,Col-0,WW,ST_FINE
C2M47-91,dpe2-5,WW,ST
C2M47-92,sex1-3,WW,ST
C2M47-93,Col-0,WW,ST_ENV
C2M47-150,abcb14-1,WW,ST
C2M47-95,Col-0,WW,ST_ENV
C2M47-96,amy3-2,WW,ST
C2M47-97,Col-0,WW,ST_FINE
C2M47-98,sex1-3,WW,ST
C2M47-99,Col-0,WW,ST_FINE
C2M47-100,ss4-3 ProStarv::LUC,WW,ST
C2M47-156,abcb14-1,WW,ST
C2M47-102,Col-0,WS,ST
C2M47-103,pgi1-1,WW,ST
C2M47-104,bam3,WW,ST
C2M47-105,Col-0,WW,ST_ENV
C2M47-106,amy3-2 bam1,WW,ST
C2M47-107,mex1-1,WW,ST
C2M47-108,bam1,WW,ST
C2M47-109,Col-0,WW,ST_ENV
C2M47-110,Col-0,WW,ST_FINE
C2M47-162,abcb14-1,WW,ST
C2M47-112,bam1bam3,WW,ST
C2M47-113,bam1bam3,WW,ST
C2M47-114,Col-0,WW,ST
C2M47-115,Col-0,WW,ST_FINE
C2M47-116,dpe1-2,WW,ST
C2M47-163,abcb14-1,WW,ST
C2M47-118,pgi1-1,WW,ST
C2M47-119,pgm-1,WS,ST
C2M47-120,pgm-1,WS,ST
C2M47-121,pgm-1,WW,ST
C2M47-122,dpe2-5,WW,ST
C2M47-123,bam1,WW,ST
C2M47-124,amy3-2 bam1,WW,ST
C2M47-125,pgi1-1,WW,ST
C2M47-126,Col-0,WW,ST
C2M47-127,Col-0,WW,ST_ENV
C2M47-128,bam1bam3,WW,ST
C2M47-129,Col-0 ProStarv::LUC,WW,ST
C2M47-130,bam1bam3,WW,ST
C2M47-131,Col-0,WW,ST_FINE
C2M47-132,bam3,WW,ST
C2M47-133,sex1-3,WW,ST
C2M47-134,Col-0,WW,ST_ENV
C2M47-135,bam3,WW,ST
C2M47-136,Col-0,WW,ST_FINE
C2M47-137,pgm-1,WS,ST
C2M47-138,pgm-1,WS,ST
C2M47-139,dpe1-2,WW,ST
C2M47-140,dpe2-5,WW,ST
C2M47-166,abcb14-1,WW,ST
C2M47-142,pgm-1,WW,ST
C2M47-143,ss4-3 ProStarv::LUC,WW,ST
C2M47-144,Col-0 ProStarv::LUC,WW,ST
C2M47-145,sex1-3,WW,ST
C2M47-146,Col-0,WW,ST_FINE
C2M47-147,pgm-1,WW,ST
C2M47-148,bam1,WW,ST
C2M47-149,ss4-3 ProStarv::LUC,WW,ST
C2M47-94,abcb14-1,WW,ST
C2M47-117,abcb14-2,WW,ST
C2M47-152,ss4-3 ProStarv::LUC,WW,ST
C2M47-153,pgm-1,WW,ST
C2M47-154,amy3-2 bam1,WW,ST
C2M47-155,pgm-1,WS,ST
C2M47-141,abcb14-2,WW,ST
C2M47-157,isa1-1 ProStarv::LUC,WW,ST
C2M47-158,amy3-2 bam1,WW,ST
C2M47-159,pgi1-1,WW,ST
C2M47-160,Col-0 ProStarv::LUC,WW,ST
C2M47-161,Col-0,WW,ST_FINE
